air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,power_proxy
297.5,308.7,1429,44.3,201,63304.7
297.5,308.6,1388,48.2,203,66901.6
297.4,308.4,1573,34.5,205,54268.5
297.4,308.4,1588,32.5,207,51610.0
297.5,308.4,1511,42.8,209,64670.799999999996
297.4,308.5,1495,37.8,211,56510.99999999999
297.4,308.4,1394,50.1,213,69839.40000000001
297.4,308.4,2151,17.7,0,38072.7
297.3,308.3,1501,38.2,2,57338.200000000004
297.3,308.3,1301,39.6,5,51519.6
297.3,308.3,1657,31.1,8,51532.700000000004
297.3,308.3,1333,55.2,11,73581.6
297.3,308.3,1484,43.9,13,65147.6
297.3,308.4,1430,45.7,15,65351.00000000001
297.3,308.4,1665,28.9,17,48118.5
297.4,308.5,1501,44.9,20,67394.9
297.5,308.5,1496,42.2,22,63131.200000000004
297.6,308.6,1595,36.9,25,58855.5
297.5,308.6,1208,62.3,28,75258.4
297.5,308.6,1596,37.1,30,59211.600000000006
297.5,308.5,1446,41.9,32,60587.4
297.6,308.5,1466,39.7,34,58200.200000000004
297.6,308.5,1848,23.7,37,43797.6
297.5,308.5,1484,44.7,40,66334.8
297.4,308.3,1493,41.2,43,61511.600000000006
297.3,308.3,1504,36.3,45,54595.2
297.3,308.3,1538,38.5,47,59213.0
297.4,308.4,1341,52.2,49,70000.2
297.4,308.3,1535,34.6,51,53111.0
297.4,308.5,1389,39.2,54,54448.8
297.5,308.5,1393,46.6,56,64913.8
297.4,308.5,1399,61.5,61,86038.5
297.4,308.5,1469,45.1,63,66251.90000000001
297.4,308.4,1582,37.2,68,58850.4
297.5,308.6,1793,26.7,70,47873.1
297.5,308.6,1452,39.0,72,56628.0
297.6,308.7,1376,59.9,74,82422.4
297.5,308.6,1552,44.9,77,69684.8
297.6,308.7,1622,37.9,79,61473.799999999996
297.6,308.7,1419,41.7,81,59172.3
297.5,308.6,1440,46.1,84,66384.0
297.4,308.6,1643,31.0,89,50933.0
297.4,308.7,1510,36.2,92,54662.00000000001
297.4,308.7,1468,46.6,94,68408.8
297.4,308.7,1429,57.4,96,82024.59999999999
297.3,308.7,1478,47.6,98,70352.8
297.4,308.6,1276,53.6,103,68393.6
297.3,308.6,1486,42.6,105,63303.6
297.4,308.6,1476,42.3,107,62434.799999999996
297.3,308.6,1431,42.0,109,60102.0
297.4,308.7,1402,40.2,114,56360.4
297.4,308.7,1433,43.4,116,62192.2
297.4,308.7,2874,4.2,118,12070.800000000001
297.3,308.6,1511,35.7,120,53942.700000000004
297.3,308.6,1456,42.9,122,62462.4
297.2,308.5,1550,41.5,125,64325.0
297.2,308.5,2182,16.5,127,36003.0
297.3,308.7,1619,31.6,129,51160.4
297.3,308.8,1586,32.7,131,51862.200000000004
297.3,308.8,1499,44.2,134,66255.8
297.3,308.8,1419,42.4,139,60165.6
297.4,309.0,1497,41.8,144,62574.6
297.4,309.0,1520,37.0,147,56240.0
297.4,309.1,1478,49.8,150,73604.4
297.4,309.1,1380,41.1,152,56718.0
297.4,309.0,1570,37.9,154,59503.0
297.4,309.0,1468,41.4,156,60775.2
297.4,309.0,1833,22.6,161,41425.8
297.4,308.9,1323,57.3,163,75807.9
297.4,309.0,1583,32.0,166,50656.0
297.3,309.0,1556,39.5,168,61462.0
297.3,309.0,1548,37.4,171,57895.2
297.4,309.0,1324,56.9,173,75335.59999999999
297.4,309.0,1568,33.7,175,52841.600000000006
297.4,309.0,1685,30.7,177,51729.5
297.4,309.1,1582,35.9,180,56793.799999999996
297.4,309.1,1463,35.0,183,51205.0
297.4,309.2,1584,42.8,186,67795.2
297.5,309.2,1347,55.8,188,75162.59999999999
297.4,309.2,1459,37.9,191,55296.1
297.4,309.2,1420,45.6,193,64752.0
297.5,309.3,1404,43.5,195,61074.0
297.5,309.3,1470,38.8,197,57035.99999999999
297.6,309.4,1326,49.8,199,66034.8
297.5,309.3,1459,49.7,201,72512.3
297.5,309.2,1530,40.0,206,61200.0
297.4,309.0,1505,39.2,209,58996.00000000001
297.5,309.1,1611,30.2,211,48652.2
297.5,309.1,1515,35.1,213,53176.5
297.5,309.2,1804,27.4,215,49429.6
297.6,309.3,1464,46.2,218,67636.8
297.6,309.2,1390,43.3,221,60186.99999999999
297.6,309.2,1442,48.1,0,69360.2
297.6,309.3,1529,41.9,3,64065.1
297.6,309.3,1610,35.0,6,56350.0
297.6,309.3,1543,34.3,8,52924.899999999994
297.8,309.4,1445,48.2,10,69649.0
297.7,309.3,1893,24.6,15,46567.8
297.6,309.3,1415,41.3,17,58439.49999999999
297.5,309.3,1564,37.5,20,58650.0
297.5,309.3,1479,39.4,22,58272.6
297.5,309.2,1426,44.8,24,63884.799999999996
297.4,309.2,1428,38.8,26,55406.399999999994
297.4,309.2,1620,33.2,28,53784.00000000001
297.5,309.2,1715,28.0,30,48020.0
297.5,309.3,1732,29.9,32,51786.799999999996
297.5,309.4,1391,58.2,34,80956.2
297.6,309.5,1924,20.6,37,39634.4
297.7,309.5,2027,19.8,39,40134.6
297.6,309.5,1617,36.2,42,58535.4
297.5,309.4,1497,35.8,44,53592.6
297.5,309.5,1448,43.7,46,63277.600000000006
297.4,309.4,1401,45.9,49,64305.9
297.4,309.4,1620,35.4,51,57348.0
297.4,309.4,1466,45.5,53,66703.0
297.6,309.5,1373,50.6,55,69473.8
297.6,309.6,1592,35.8,57,56993.6
297.5,309.5,1553,42.4,60,65847.2
297.6,309.5,1569,36.2,63,56797.8
297.6,309.5,1709,32.2,65,55029.8
297.6,309.5,1549,34.9,68,54060.1
297.5,309.4,1443,45.4,70,65512.2
297.5,309.3,1675,29.8,72,49915.0
297.5,309.3,1623,33.4,74,54208.2
297.4,309.3,1365,52.4,76,71526.0
297.4,309.3,1759,24.8,81,43623.200000000004
297.4,309.3,1516,43.0,83,65188.0
297.4,309.3,1499,36.8,88,55163.2
297.4,309.3,1775,25.8,91,45795.0
297.4,309.4,1473,45.5,94,67021.5
297.4,309.4,1296,52.3,96,67780.8
297.5,309.4,1803,24.7,98,44534.1
297.5,309.3,1563,36.1,100,56424.3
297.5,309.4,1831,26.6,105,48704.600000000006
297.6,309.4,1958,22.1,108,43271.8
297.5,309.4,1809,24.3,110,43958.700000000004
297.5,309.4,1482,39.3,112,58242.6
297.4,309.3,1332,53.2,115,70862.40000000001
297.4,309.2,1437,40.4,117,58054.799999999996
297.4,309.2,1698,29.4,119,49921.2
297.4,309.2,1274,54.3,121,69178.2
297.4,309.3,1622,35.0,123,56770.0
297.4,309.3,1564,36.0,126,56304.0
297.5,309.4,1368,45.3,129,61970.399999999994
297.4,309.4,1539,42.2,134,64945.8
297.5,309.4,1357,50.1,137,67985.7
297.5,309.4,1433,48.3,139,69213.9
297.5,309.4,1650,34.6,142,57090.0
297.5,309.4,1503,40.6,144,61021.8
297.5,309.4,1318,58.2,146,76707.6
297.5,309.4,1678,34.4,148,57723.2
297.6,309.5,1574,30.9,151,48636.6
297.7,309.6,1529,35.2,153,53820.8
297.6,309.6,1669,32.1,155,53574.9
297.7,309.7,1570,35.8,160,56205.99999999999
297.6,309.7,1541,33.7,165,51931.700000000004
297.7,309.7,1680,30.2,168,50736.0
297.8,309.7,1935,22.1,171,42763.5
297.7,309.6,1596,35.2,173,56179.200000000004
297.7,309.7,1498,41.0,176,61418.0
297.8,309.8,1676,29.0,178,48604.0
297.8,309.9,1351,49.0,181,66199.0
297.9,309.9,1472,45.0,183,66240.0
297.9,310.0,1439,41.7,185,60006.3
297.9,309.9,1410,55.4,188,78114.0
297.7,309.7,1440,51.1,191,73584.0
297.7,309.7,1591,37.7,196,59980.700000000004
297.8,309.8,1533,36.8,198,56414.399999999994
297.8,309.7,1700,31.3,200,53210.0
297.8,309.8,1798,25.5,203,45849.0
297.8,309.7,1394,42.9,206,59802.6
297.8,309.7,1341,49.2,208,65977.2
297.7,309.6,1697,32.2,210,54643.4
297.6,309.6,1419,48.2,215,68395.8
297.6,309.5,2001,20.5,220,41020.5
297.6,309.6,1501,49.8,222,74749.8
297.6,309.5,1623,33.1,224,53721.3
297.6,309.4,1628,33.4,229,54375.2
297.6,309.4,1491,40.2,231,59938.200000000004
297.5,309.4,1517,36.7,233,55673.9
297.5,309.3,1525,41.7,235,63592.50000000001
297.5,309.5,1668,27.9,240,46537.2
297.5,309.6,1312,50.7,0,66518.40000000001
297.6,309.6,1278,50.4,2,64411.2
297.6,309.6,1330,53.1,7,70623.0
297.6,309.6,1530,37.3,10,57068.99999999999
297.6,309.6,1428,46.6,13,66544.8
297.7,309.6,1480,47.9,18,70892.0
297.7,309.7,1616,31.1,20,50257.600000000006
297.8,309.7,1547,37.3,25,57703.1
297.9,309.7,2194,16.8,27,36859.200000000004
297.9,309.8,2000,21.3,29,42600.0
297.9,309.8,1336,71.6,31,95657.59999999999
297.9,309.9,1542,33.8,33,52119.6
297.9,309.8,1693,29.9,35,50620.7
297.9,309.8,1461,50.5,38,73780.5
